ID,X,Y,Z,Code,Description
ORIGIN,0.0,0.0,0.0,ORIGIN,"Local origin (157896.161, 6407066.260, 18.833)"
994,3.002,-88.396,1.936,VAG_VM,Offset startpoint
995,2.808,-80.129,1.642,VAG_VM,Value
996,2.663,-75.584,1.492,VAG_VM,Value
997,2.501,-69.284,1.321,VAG_VM,Value
998,2.428,-63.503,1.159,VAG_VM,Value
999,2.323,-56.607,0.96,VAG_VM,Value
1000,2.217,-49.263,0.735,VAG_VM,Value
1001,2.147,-46.283,0.638,VAG_VM,DB 400
1002,2.062,-39.671,0.482,VAG_VM,Value
1003,1.925,-31.521,0.3,VAG_VM,Value
1004,1.715,-19.9,0.096,VAG_VM,Value
1005,1.467,-3.839,0.022,VAG_VM,Value
1006,1.36,2.0,0.008,VAG_VM,Value
1007,1.316,5.527,0.0,VAG_VM,Target Z
1008,1.154,14.931,0.034,VAG_VM,Value
1009,1.02,23.814,0.111,VAG_VM,Value
1010,0.855,33.206,0.199,VAG_VM,Value
1011,0.704,39.923,0.269,VAG_VM,Value
1012,0.41,46.995,0.362,VAG_VM,Value
1013,-0.009,55.186,0.47,VAG_VM,Value
1014,-0.453,61.387,0.55,VAG_VM,Value
1015,-0.992,68.642,0.645,VAG_VM,Value
1016,-1.765,77.143,0.733,VAG_VM,Value
1017,-2.51,84.087,0.811,VAG_VM,Value
1018,-3.002,88.396,0.855,VAG_VM,Value
1019,-1.45,7.134,0.222,VAG_VM,Endpoint
